node,difficulty,block_index,attempts,wall_time_s,server_time_s,overhead_s,attempt_rate,attempt_rate_wall,nonce,startup_seconds,rep
diff3,3,120,1327,0.001921,0.0012,0.000721,1105833.3333333335,690891.0710349313,1326,0.2257,117
diff3,3,121,12577,0.011758,0.011,0.000758,1143363.6363636365,1069624.4036391994,12576,0.2257,118
diff3,3,122,219,0.00098,0.0002,0.00078,1095000.0,223488.34068768323,218,0.2257,119
diff3,3,123,894,0.001361,0.0008,0.000561,1117500.0,656849.6647537281,893,0.2257,120
diff3,3,124,992,0.00148,0.0009,0.00058,1102222.2222222222,670119.4746433696,991,0.2257,121
diff3,3,125,2123,0.002596,0.002,0.000596,1061500.0,817783.3419918141,2122,0.2257,122
diff3,3,126,4887,0.005241,0.0045,0.000741,1086000.0,932374.1473140572,4886,0.2257,123
diff3,3,127,12,0.000742,0.0,0.000742,,16181.579028966,11,0.2257,124
diff3,3,128,611,0.001151,0.0006,0.000551,1018333.3333333334,530650.9618752697,610,0.2257,125
diff3,3,129,1856,0.002404,0.0018,0.000604,1031111.1111111111,772046.5426274723,1855,0.2257,126
diff3,3,130,2312,0.002894,0.0023,0.000594,1005217.3913043479,798779.1898010735,2311,0.2257,127
diff3,3,131,903,0.001478,0.0008,0.000678,1128750.0,610788.3989011856,902,0.2257,128
diff3,3,132,13159,0.012659,0.0119,0.000759,1105798.319327731,1039521.5663748819,13158,0.2257,129
diff3,3,133,1219,0.001922,0.0011,0.000822,1108181.8181818181,634276.4436650074,1218,0.2257,130
diff3,3,134,529,0.001042,0.0005,0.000542,1058000.0,507697.95413275366,528,0.2257,131
diff3,3,135,1200,0.001677,0.0011,0.000577,1090909.0909090908,715367.7620963516,1199,0.2257,132
diff3,3,136,306,0.000851,0.0003,0.000551,1020000.0000000001,359559.2775371615,305,0.2257,133
diff3,3,137,3935,0.004348,0.0038,0.000548,1035526.3157894737,905022.3193813202,3934,0.2257,134
diff3,3,138,11105,0.011046,0.0102,0.000846,1088725.4901960783,1005318.5574741646,11104,0.2257,135
diff3,3,139,6585,0.006955,0.0062,0.000755,1062096.7741935484,946744.2112295317,6584,0.2257,136
diff3,3,140,1006,0.001492,0.0009,0.000592,1117777.7777777778,674356.731253818,1005,0.2257,137
diff3,3,141,10477,0.010222,0.0094,0.000822,1114574.4680851062,1024983.7986383395,10476,0.2257,138
diff3,3,142,1810,0.002573,0.0017,0.000873,1064705.8823529412,703584.2214777395,1809,0.2257,139
diff3,3,143,646,0.001284,0.0006,0.000684,1076666.6666666667,503147.83712188184,645,0.2257,140
diff3,3,144,638,0.001157,0.0006,0.000557,1063333.3333333335,551584.8484963406,637,0.2257,141
diff3,3,145,112,0.000727,0.0001,0.000627,1120000.0,154110.7415569071,111,0.2257,142
diff3,3,146,9152,0.009458,0.0086,0.000858,1064186.046511628,967680.4944246324,9151,0.2257,143
diff3,3,147,1994,0.002738,0.0019,0.000838,1049473.6842105263,728357.407749322,1993,0.2257,144
diff3,3,148,1446,0.001993,0.0014,0.000593,1032857.1428571428,725402.8491117366,1445,0.2257,145
diff3,3,149,2250,0.002416,0.0019,0.000516,1184210.5263157894,931419.7480899425,2249,0.2257,146
diff3,3,150,1622,0.001889,0.0014,0.000489,1158571.4285714286,858674.4473492154,1621,0.2257,147
diff3,3,151,3664,0.004061,0.0034,0.000661,1077647.0588235294,902268.5644740544,3663,0.2257,148
diff3,3,152,105,0.000715,0.0001,0.000615,1050000.0,146896.08420054175,104,0.2257,149
diff3,3,153,863,0.001321,0.0008,0.000521,1078750.0,653292.9366214212,862,0.2257,150
diff3,3,154,4919,0.005233,0.0046,0.000633,1069347.8260869565,940003.742273224,4918,0.2257,151
diff3,3,155,443,0.001106,0.0004,0.000706,1107500.0,400376.69116436783,442,0.2257,152
diff3,3,156,8065,0.008359,0.0076,0.000759,1061184.2105263157,964770.6232327244,8064,0.2257,153
diff3,3,157,877,0.001503,0.0008,0.000703,1096250.0,583499.6534017749,876,0.2257,154
diff3,3,158,110,0.000755,0.0001,0.000655,1100000.0,145711.37502991664,109,0.2257,155
diff3,3,159,8350,0.00832,0.0076,0.00072,1098684.2105263157,1003595.7682108968,8349,0.2257,156
diff3,3,160,1603,0.002025,0.0014,0.000625,1145000.0,791474.4205557056,1602,0.2257,157
diff3,3,161,770,0.001284,0.0007,0.000584,1100000.0,599688.4743971517,769,0.2257,158
diff3,3,162,354,0.000948,0.0003,0.000648,1180000.0,373417.72120789986,353,0.2257,159
diff3,3,163,14084,0.013294,0.0126,0.000694,1117777.7777777778,1059395.4181340006,14083,0.2257,160
diff3,3,164,6911,0.007636,0.0067,0.000936,1031492.5373134328,905015.5492946478,6910,0.2257,161
diff3,3,165,2484,0.003093,0.0023,0.000793,1080000.0,802995.5736725022,2483,0.2257,162
diff3,3,166,3269,0.003764,0.0031,0.000664,1054516.1290322582,868490.9617992588,3268,0.2257,163
diff3,3,167,3243,0.0034,0.0028,0.0006,1158214.2857142857,953718.3672598423,3242,0.2257,164
diff3,3,168,2735,0.003009,0.0024,0.000609,1139583.3333333335,909053.1375506445,2734,0.2257,165
diff3,3,169,219,0.0008,0.0002,0.0006,1095000.0,273835.58118838974,218,0.2257,166
diff3,3,170,249,0.000738,0.0002,0.000538,1245000.0,337607.8675867399,248,0.2257,167
diff3,3,171,6895,0.006661,0.0061,0.000561,1130327.868852459,1035078.1280932361,6894,0.2257,168
diff3,3,172,3076,0.003672,0.0029,0.000772,1060689.655172414,837662.1050341128,3075,0.2257,169
diff3,3,173,4029,0.004577,0.0039,0.000677,1033076.9230769231,880327.0904717962,4028,0.2257,170
diff3,3,174,5344,0.005894,0.0051,0.000794,1047843.1372549019,906620.5937608095,5343,0.2257,171
diff3,3,175,5940,0.006165,0.0054,0.000765,1100000.0,963562.252002437,5939,0.2257,172
diff3,3,176,853,0.001386,0.0007,0.000686,1218571.4285714286,615310.8759106998,852,0.2257,173
diff3,3,177,5789,0.005739,0.005,0.000739,1157800.0,1008749.0415639129,5788,0.2257,174
diff3,3,178,8897,0.008777,0.008,0.000777,1112125.0,1013667.3637452893,8896,0.2257,175
diff3,3,179,2058,0.002595,0.0019,0.000695,1083157.894736842,793203.5816094318,2057,0.2257,176
diff3,3,180,10930,0.010892,0.0101,0.000792,1082178.2178217822,1003507.9505696155,10929,0.2257,177
diff3,3,181,3223,0.003762,0.003,0.000762,1074333.3333333333,856620.8612774274,3222,0.2257,178
diff3,3,182,4853,0.005037,0.0043,0.000737,1128604.6511627906,963462.2707952614,4852,0.2257,179
diff3,3,183,3096,0.003327,0.0027,0.000627,1146666.6666666665,930626.511117539,3095,0.2257,180
diff3,3,184,835,0.001905,0.0007,0.001205,1192857.142857143,438377.7375596806,834,0.2257,181
diff3,3,185,4897,0.004912,0.0043,0.000612,1138837.2093023255,996971.6006471833,4896,0.2257,182
diff3,3,186,8379,0.00866,0.0079,0.00076,1060632.911392405,967528.7280354432,8378,0.2257,183
diff3,3,187,6440,0.006636,0.0058,0.000836,1110344.827586207,970421.4377712226,6439,0.2257,184
diff3,3,188,920,0.001604,0.0009,0.000704,1022222.2222222222,573655.4783571673,919,0.2257,185
diff3,3,189,356,0.000938,0.0003,0.000638,1186666.6666666667,379615.09309978236,355,0.2257,186
diff3,3,190,8876,0.008456,0.0079,0.000556,1123544.3037974683,1049648.28061952,8875,0.2257,187
diff3,3,191,10541,0.010098,0.0092,0.000898,1145760.8695652175,1043848.4782783856,10540,0.2257,188
diff3,3,192,3945,0.004637,0.0037,0.000937,1066216.216216216,850834.3780787463,3944,0.2257,189
diff3,3,193,1699,0.002387,0.0016,0.000787,1061875.0,711809.3786699573,1698,0.2257,190
diff3,3,194,3529,0.004101,0.0033,0.000801,1069393.9393939395,860495.5835959151,3528,0.2257,191
diff3,3,195,4874,0.005398,0.0047,0.000698,1037021.2765957447,902954.9530236915,4873,0.2257,192
diff3,3,196,2040,0.002617,0.0019,0.000717,1073684.2105263157,779642.4448274061,2039,0.2257,193
diff3,3,197,3097,0.003291,0.0027,0.000591,1147037.037037037,941158.5784032083,3096,0.2257,194
diff3,3,198,12864,0.011396,0.0107,0.000696,1202242.9906542057,1128771.6579242717,12863,0.2257,195
diff3,3,199,1881,0.002308,0.0016,0.000708,1175625.0,814932.3502205376,1880,0.2257,196
diff3,3,200,4013,0.004422,0.0036,0.000822,1114722.2222222222,907533.5933707838,4012,0.2257,197
diff3,3,201,591,0.00128,0.0005,0.00078,1182000.0,461568.3914470604,590,0.2257,198
diff3,3,202,2221,0.002615,0.0019,0.000715,1168947.3684210526,849357.7422756316,2220,0.2257,199
diff3,3,203,4997,0.005289,0.0045,0.000789,1110444.4444444445,944746.4100749231,4996,0.2257,200
diff3,3,204,1755,0.00235,0.0016,0.00075,1096875.0,746715.7476575937,1754,0.2257,201
diff3,3,205,1011,0.001515,0.0009,0.000615,1123333.3333333333,667436.8411851452,1010,0.2257,202
diff3,3,206,3281,0.003667,0.003,0.000667,1093666.6666666667,894635.3952333601,3280,0.2257,203
diff3,3,207,4554,0.004996,0.0042,0.000796,1084285.7142857143,911605.295539411,4553,0.2257,204
diff3,3,208,1645,0.00227,0.0015,0.00077,1096666.6666666667,724549.9369943307,1644,0.2257,205
diff3,3,209,4275,0.004669,0.0039,0.000769,1096153.8461538462,915564.600307685,4274,0.2257,206
diff3,3,210,12985,0.013025,0.012,0.001025,1082083.3333333333,996925.7755377884,12984,0.2257,207
diff3,3,211,1048,0.001889,0.001,0.000889,1048000.0,554778.6014778317,1047,0.2257,208
diff3,3,212,5624,0.006094,0.0053,0.000794,1061132.075471698,922811.8023802725,5623,0.2257,209
diff3,3,213,9321,0.00942,0.0086,0.00082,1083837.2093023255,989468.4823267916,9320,0.2257,210
diff3,3,214,2353,0.003031,0.0022,0.000831,1069545.4545454546,776289.9137727066,2352,0.2257,211
diff3,3,215,335,0.000909,0.0003,0.000609,1116666.6666666667,368401.94137837004,334,0.2257,212
diff3,3,216,7458,0.007824,0.0071,0.000724,1050422.5352112676,953276.6624644585,7457,0.2257,213
diff3,3,217,520,0.00126,0.0005,0.00076,1040000.0,412616.58510341914,519,0.2257,214
diff3,3,218,5427,0.005734,0.005,0.000734,1085400.0,946425.4143828009,5426,0.2257,215
diff3,3,219,2325,0.003009,0.0023,0.000709,1010869.5652173914,772735.3845875266,2324,0.2257,216
diff3,3,220,1929,0.002507,0.0018,0.000707,1071666.6666666667,769445.5532443376,1928,0.2257,217
diff3,3,221,230,0.000817,0.0002,0.000617,1150000.0,281374.1560149471,229,0.2257,218
diff3,3,222,5697,0.005976,0.0053,0.000676,1074905.6603773586,953240.0354623391,5696,0.2257,219
diff3,3,223,425,0.00103,0.0004,0.00063,1062500.0,412771.7056988538,424,0.2257,220
diff3,3,224,6431,0.006646,0.006,0.000646,1071833.3333333333,967637.6340209319,6430,0.2257,221
diff3,3,225,5540,0.005775,0.005,0.000775,1108000.0,959272.8277326107,5539,0.2257,222
diff3,3,226,1014,0.001786,0.001,0.000786,1014000.0,567828.7062703714,1013,0.2257,223
diff3,3,227,11088,0.011416,0.0107,0.000716,1036261.6822429907,971250.6000499876,11087,0.2257,224
diff3,3,228,4749,0.005411,0.0045,0.000911,1055333.3333333335,877629.5503230206,4748,0.2257,225
diff3,3,229,2141,0.002578,0.0018,0.000778,1189444.4444444445,830408.179955389,2140,0.2257,226
diff3,3,230,3024,0.003343,0.0027,0.000643,1120000.0,904520.4501175537,3023,0.2257,227
diff3,3,231,13716,0.012935,0.0121,0.000835,1133553.7190082646,1060389.0664109434,13715,0.2257,228
diff3,3,232,73,0.000919,0.0001,0.000819,730000.0,79448.61871543806,72,0.2257,229
diff3,3,233,4914,0.00545,0.0047,0.00075,1045531.9148936169,901630.6824504278,4913,0.2257,230
diff3,3,234,967,0.001668,0.0009,0.000768,1074444.4444444445,579736.2474247296,966,0.2257,231
diff3,3,235,2330,0.00277,0.0021,0.00067,1109523.8095238097,841218.4059704614,2329,0.2257,232
diff3,3,236,7586,0.007741,0.007,0.000741,1083714.2857142857,979982.0774909473,7585,0.2257,233
diff3,3,237,3593,0.003961,0.0033,0.000661,1088787.878787879,907094.1393177175,3592,0.2257,234
diff3,3,238,4167,0.004807,0.004,0.000807,1041750.0,866898.3572707677,4166,0.2257,235
diff3,3,239,4262,0.004743,0.004,0.000743,1065500.0,898666.3966951342,4261,0.2257,236
diff3,3,240,3378,0.003818,0.0031,0.000718,1089677.4193548388,884698.480942828,3377,0.2257,237
diff3,3,241,507,0.001238,0.0005,0.000738,1014000.0,409628.14850726543,506,0.2257,238
diff3,3,242,7765,0.008284,0.0075,0.000784,1035333.3333333334,937372.6620173382,7764,0.2257,239
diff3,3,243,159,0.000859,0.0002,0.000659,795000.0,185134.9772543355,158,0.2257,240
diff3,3,244,1472,0.002116,0.0015,0.000616,981333.3333333333,695583.4278935012,1471,0.2257,241
diff3,3,245,7181,0.007733,0.0069,0.000833,1040724.6376811594,928637.523197782,7180,0.2257,242
diff3,3,246,3320,0.003699,0.0029,0.000799,1144827.5862068967,897661.1882514863,3319,0.2257,243
diff3,3,247,3077,0.00343,0.0028,0.00063,1098928.5714285714,897204.5769489768,3076,0.2257,244
diff3,3,248,556,0.001122,0.0005,0.000622,1112000.0,495469.88094747544,555,0.2257,245
diff3,3,249,120,0.00067,0.0001,0.00057,1200000.0,179026.7164916332,119,0.2257,246
diff3,3,250,8203,0.008338,0.0077,0.000638,1065324.6753246754,983868.0613072194,8202,0.2257,247
diff3,3,251,7513,0.008444,0.0076,0.000844,988552.6315789474,889739.8754689678,7512,0.2257,248
diff3,3,252,10415,0.010423,0.0095,0.000923,1096315.7894736843,999244.4560062191,10414,0.2257,249
diff3,3,253,3469,0.003869,0.0031,0.000769,1119032.2580645161,896585.1635177174,3468,0.2257,250
diff3,3,254,1043,0.00157,0.0009,0.00067,1158888.888888889,664437.003678865,1042,0.2257,251
diff3,3,255,2769,0.002966,0.0024,0.000566,1153750.0,933633.202188543,2768,0.2257,252
diff3,3,256,8599,0.008816,0.0081,0.000716,1061604.938271605,975348.7158673196,8598,0.2257,253
diff3,3,257,14168,0.013834,0.0129,0.000934,1098294.5736434108,1024131.0488760554,14167,0.2257,254
diff3,3,258,1238,0.001984,0.0011,0.000884,1125454.5454545454,624083.7854126327,1237,0.2257,255
diff3,3,259,267,0.000802,0.0002,0.000602,1335000.0,332727.29510421335,266,0.2257,256
diff3,3,260,534,0.000971,0.0004,0.000571,1335000.0,549736.1798647371,533,0.2257,257
diff3,3,261,3270,0.003444,0.0029,0.000544,1127586.206896552,949350.8113695168,3269,0.2257,258
diff3,3,262,823,0.001361,0.0007,0.000661,1175714.2857142857,604906.4409417746,822,0.2257,259
diff3,3,263,4487,0.004641,0.004,0.000641,1121750.0,966878.3341518122,4486,0.2257,260
diff3,3,264,432,0.001031,0.0004,0.000631,1080000.0,418959.79380438593,431,0.2257,261
diff3,3,265,6069,0.006366,0.0056,0.000766,1083750.0,953352.0301062271,6068,0.2257,262
